id,status,startDate,registrationDate,dob,gender,city,region,numberOfChildren,isMarried,hasDisability
1,مفعل,2023-05-09 00:00:00,2022-08-31 23:00:46,1997-05-28 00:00:00,1,المسجد,حائل,2,0,0
2,مفعل,2023-05-08 00:00:00,2022-02-28 08:21:52,1993-12-15 00:00:00,1,بريدة,القصيم,2,0,0
3,مفعل,2023-05-07 00:00:00,2022-12-03 19:47:43,1991-04-07 00:00:00,1,البكيرية,القصيم,3,0,0
4,مفعل,2023-05-07 00:00:00,2022-11-20 10:48:03,1996-11-11 00:00:00,1,ينبع الصناعية,المدينة المنورة,1,0,0
5,مفعل,2023-05-08 00:00:00,2022-10-17 11:08:29,1988-05-01 00:00:00,1,الرياض,الرياض,2,0,0
6,مفعل,2023-05-07 00:00:00,2022-09-28 11:25:44,1999-08-27 00:00:00,1,الدوادمي,حائل,2,1,0
7,مفعل,2023-05-09 00:00:00,2022-09-06 19:12:57,1988-10-19 00:00:00,1,الطائف,مكة المكرمة,1,0,0
8,مفعل,2023-05-07 00:00:00,2022-09-18 13:59:09,1997-07-07 00:00:00,1,الخبر,المنطقة الشرقية,3,1,0
9,مفعل,2023-05-07 00:00:00,2022-10-09 06:12:51,1996-09-24 00:00:00,1,جدة,مكة المكرمة,2,0,0
10,مفعل,2023-05-07 00:00:00,2022-07-25 19:54:54,1990-11-10 00:00:00,1,الدوادمي,حائل,4,1,0
11,مفعل,2023-05-08 00:00:00,2022-12-15 17:01:45,1995-05-12 00:00:00,1,العزيزية,المنطقة الشرقية,1,0,0
12,مفعل,2023-05-08 00:00:00,2022-08-29 23:11:20,1993-11-19 00:00:00,1,عنيزة,القصيم,2,0,1
13,مفعل,2023-05-08 00:00:00,2022-09-03 16:28:26,1991-07-01 00:00:00,1,الرياض,الرياض,1,0,0
14,مفعل,2023-05-08 00:00:00,2022-02-21 07:22:51,1995-03-11 00:00:00,1,سنابس,المنطقة الشرقية,1,0,0
15,مفعل,2023-05-08 00:00:00,2022-11-03 21:28:23,1999-04-12 00:00:00,1,الخبر,المنطقة الشرقية,2,0,0
16,مفعل,2023-05-07 00:00:00,2022-02-19 15:21:53,1994-09-10 00:00:00,1,بلاقة,مكة المكرمة,1,0,0
17,مفعل,2023-05-09 00:00:00,2022-01-18 17:11:56,1995-03-04 00:00:00,1,بريدة,القصيم,1,0,0
18,مفعل,2023-05-09 00:00:00,2022-12-06 01:04:51,1998-05-24 00:00:00,1,القارة,المنطقة الشرقية,3,0,0
19,مفعل,2023-05-07 00:00:00,2022-02-24 21:21:59,1992-02-04 00:00:00,1,الجبيل,المنطقة الشرقية,2,1,0
20,مفعل,2023-05-07 00:00:00,2022-03-04 17:42:12,1994-07-11 00:00:00,1,الدمام,المنطقة الشرقية,3,0,0
21,مفعل,2023-05-09 00:00:00,2022-03-15 11:58:50,1990-09-13 00:00:00,1,الرياض,الرياض,3,0,0
22,مفعل,2023-05-09 00:00:00,2022-11-14 18:06:33,1992-05-31 00:00:00,1,الرياض,الرياض,2,0,0
23,مفعل,2023-05-08 00:00:00,2022-07-18 21:45:37,1990-06-03 00:00:00,1,الدوادمي,حائل,2,0,0
24,مفعل,2023-05-08 00:00:00,2022-12-18 09:06:27,1996-09-03 00:00:00,1,ينبع الصناعية,المدينة المنورة,1,0,0
25,مفعل,2023-05-08 00:00:00,2022-12-04 17:59:15,1982-09-16 00:00:00,1,الدمام,المنطقة الشرقية,1,0,0
26,مفعل,2023-05-14 00:00:00,2022-09-24 14:13:10,1983-09-20 00:00:00,1,الدمام,المنطقة الشرقية,1,0,0
27,مفعل,2023-05-09 00:00:00,2022-12-22 10:03:49,1994-07-18 00:00:00,1,الدوادمي,حائل,2,0,0
28,مفعل,2023-05-09 00:00:00,2022-02-01 17:54:45,1987-06-08 00:00:00,1,المدينة المنورة,المدينة المنورة,1,0,0
29,مفعل,2023-05-09 00:00:00,2022-06-17 16:43:06,1983-08-03 00:00:00,1,الدمام,المنطقة الشرقية,2,0,0
30,مفعل,2023-05-09 00:00:00,2022-06-08 10:30:28,1994-04-15 00:00:00,1,الهفوف,المنطقة الشرقية,2,0,0
31,مفعل,2023-05-10 00:00:00,2022-09-27 22:18:07,1980-05-15 00:00:00,1,ثول,مكة المكرمة,1,1,0
32,مفعل,2023-05-10 00:00:00,2022-08-29 09:29:31,1992-10-17 00:00:00,1,ثول,مكة المكرمة,1,0,0
33,مفعل,2023-05-09 00:00:00,2022-08-31 15:05:03,1996-07-25 00:00:00,1,الدمام,المنطقة الشرقية,2,0,0
34,مفعل,2023-05-09 00:00:00,2022-12-05 03:01:29,1993-01-27 00:00:00,1,ثول,مكة المكرمة,1,0,0
35,مفعل,2023-05-11 00:00:00,2022-12-22 09:49:33,1993-06-09 00:00:00,1,الرياض,الرياض,2,0,0
36,مفعل,2023-05-11 00:00:00,2022-12-12 13:09:36,1990-05-10 00:00:00,1,الخبر,المنطقة الشرقية,1,0,0
37,مفعل,2023-05-14 00:00:00,2022-09-10 19:35:35,1985-11-03 00:00:00,1,القطيف,المنطقة الشرقية,1,0,0
38,مفعل,2023-05-15 00:00:00,2022-09-12 18:06:42,1989-04-13 00:00:00,1,المبنى,مكة المكرمة,2,1,0
39,مفعل,2023-05-14 00:00:00,2022-10-01 16:16:51,1986-04-03 00:00:00,1,الرياض,الرياض,1,0,0
40,مفعل,2023-05-14 00:00:00,2022-03-23 20:35:16,1995-09-30 00:00:00,1,جدة,مكة المكرمة,3,0,0
